ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8,Close Price 9,Close Price 10,Close Price 11,Close Price 12
70,2018-05-24 06:22:00 EDT,3,1.0,-0.0012,-0.0017,-0.0016,5,true,-0.0012877115526123476,-0.0016413375468210677,0.0141,0.0,9899.458,9874.458,0.542,1,393.66799267844004,393.8113969830758,393.6955147167034,393.55066188373803,393.2754415011037,393.50720603384843,393.391323767476,393.3188973509933,393.3188973509933,393.203015084621,393.043821821192,393.05816225165563
70,2019-11-20 07:55:00 EST,3,1.0,-0.0012,-0.0017,-0.0016,5,true,-0.0012877115526123476,-0.0016413375468210677,0.0141,0.0,9899.458,9874.458,0.542,1,393.7353173429362,393.4948025850428,392.7859169828307,392.6086955822776,392.10234872355477,392.6340129252138,392.48210886759693,392.6213542537458,392.7605996398945,392.5992015786766,392.56439023213943,392.3555221529162
70,2022-10-19 10:43:00 EDT,3,1.0,-0.0012,-0.0017,-0.0016,5,true,-0.0012877115526123476,-0.0016413375468210677,0.0141,0.0,9899.458,9874.458,0.542,1,393.93491594124043,393.74213084874856,393.54934575625674,393.56005603917293,393.39940179542975,393.516465187704,393.5065046245919,393.3992946926006,393.38333637105546,393.260168117519,393.2922989662676,393.2280372687703
70,2022-12-07 08:40:00 EST,3,1.0,-0.0012,-0.0017,-0.0016,5,true,-0.0012877115526123476,-0.0016413375468210677,0.0141,0.0,9899.458,9874.458,0.542,1,393.69,393.9,393.8794,393.95,393.89,393.79,393.71,393.85,393.84,393.8,393.85,393.46
70,2023-10-20 11:12:00 EDT,3,1.0,-0.0012,-0.0017,-0.0016,5,true,-0.0012877115526123476,-0.0016413375468210677,0.0141,0.0,9899.458,9874.458,0.542,1,393.56553978718614,393.51893971853656,393.4536996224271,393.64475990389053,393.584179814646,393.52825973226646,393.9290203226532,393.9103802951933,394.20862073455083,393.761726076201,393.70608559423334,393.53757974599637
95,2018-02-01 09:24:00 EST,3,0.75,-0.0025,-0.0047,-0.005,8,true,-0.0030417118669304713,-0.004158611468703699,0.0208,0.0022,9663.916,9548.916,0.542,1,392.52372946447616,392.6283912950715,392.5376843752222,392.73305312566674,392.830737500889,392.93539933148423,393.1517004480478,393.04006116207944,392.9563316976032,393.12379062655566,393.04006116207944,392.858647322381
95,2020-07-14 08:58:00 EDT,3,0.75,-0.0025,-0.0047,-0.005,8,true,-0.0030417118669304713,-0.004158611468703699,0.0208,0.0022,9663.916,9548.916,0.542,1,392.315585708398,392.3280271375582,392.29070285007765,392.26581999175727,392.0380174238341,391.7930456836699,391.929901404432,391.86769425863105,392.15384712931547,392.05431569603394,391.60642424626695,391.41980280886406
95,2021-03-24 11:58:00 EDT,3,0.75,-0.0025,-0.0047,-0.005,8,true,-0.0030417118669304713,-0.004158611468703699,0.0208,0.0022,9663.916,9548.916,0.542,1,392.39953496764883,392.2386864640528,392.0252334184002,390.24477199494754,390.61806191838735,390.56849225375714,390.486550563246,390.08291186554277,390.0019818008404,390.7000036088985,391.0237238677081,390.6949454798546
95,2021-11-22 10:47:00 EST,3,0.75,-0.0025,-0.0047,-0.005,8,true,-0.0030417118669304713,-0.004158611468703699,0.0208,0.0022,9663.916,9548.916,0.542,1,392.5610384361772,392.5318222619276,392.25643895092844,392.106100865718,391.59690468593794,391.58020972922384,391.48838746729626,391.2463105949418,390.937453895731,390.8122417203752,390.57016484802074,390.60355476144895
95,2022-01-19 05:28:00 EST,3,0.75,-0.0025,-0.0047,-0.005,8,true,-0.0030417118669304713,-0.004158611468703699,0.0208,0.0022,9663.916,9548.916,0.542,1,392.2896579503289,392.42883173345297,392.08347456792285,392.19515723339276,392.0491106708552,391.8442159345891,391.9202460568514,391.93742800538524,391.85581374984946,391.7570175457799,392.10495200359014,391.8343363141822
95,2022-12-07 09:05:00 EST,3,0.75,-0.0025,-0.0047,-0.005,8,true,-0.0030417118669304713,-0.004158611468703699,0.0208,0.0022,9663.916,9548.916,0.542,1,392.57,392.68,392.7,392.72,392.8,392.74,392.78,392.915,392.95,393.1201,393.3001,393.25
