ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8
19,2018-06-21 06:53:00 EDT,3,0.8,0.0006,0.0011,0.0007,10,true,0.0006778030435543167,0.0006587690155621634,0.05,0.0006,10059.458,10059.458,0.542,1,457.5016001019869,457.66818845726567,457.68484729279356,457.618211950682,457.58489427962627,457.60155311515416,457.53491777304265,457.5016001019869
19,2018-07-05 08:59:00 EDT,3,0.8,0.0006,0.0011,0.0007,10,true,0.0006778030435543167,0.0006587690155621634,0.05,0.0006,10059.458,10059.458,0.542,1,457.2845086747607,457.36,457.4774309503723,457.5361464255585,457.5948619007446,457.7626204012765,457.7963398598834,457.61163775079774
19,2018-08-08 08:36:00 EDT,3,0.8,0.0006,0.0011,0.0007,10,true,0.0006778030435543167,0.0006587690155621634,0.05,0.0006,10059.458,10059.458,0.542,1,457.3758605240786,457.4079019868635,457.39188125547105,457.3998916211673,457.4165531818155,457.41591235255976,457.4719849124335,457.4473129860891
19,2019-04-30 09:37:00 EDT,3,0.8,0.0006,0.0011,0.0007,10,true,0.0006778030435543167,0.0006587690155621634,0.05,0.0006,10059.458,10059.458,0.542,1,457.3631163273997,457.35220918150077,457.39895409249647,457.4846530959885,457.55554954433194,457.5080255514863,457.74175010646456,457.79893471424924
19,2019-07-10 07:34:00 EDT,3,0.8,0.0006,0.0011,0.0007,10,true,0.0006778030435543167,0.0006587690155621634,0.05,0.0006,10059.458,10059.458,0.542,1,457.4903631668959,457.5287052748064,457.45202105898534,457.37533684316435,457.4366842158211,457.5440421179706,457.40601052949273,457.4675112705812
19,2020-08-21 11:55:00 EDT,3,0.8,0.0006,0.0011,0.0007,10,true,0.0006778030435543167,0.0006587690155621634,0.05,0.0006,10059.458,10059.458,0.542,1,457.3195864628436,457.47450502194346,457.55129074254074,457.440827074313,457.42735589526086,457.3195864628436,460.97027598597987,460.7749438897235
19,2020-11-06 07:46:00 EST,3,0.8,0.0006,0.0011,0.0007,10,true,0.0006778030435543167,0.0006587690155621634,0.05,0.0006,10059.458,10059.458,0.542,1,457.2816088670513,457.23718722504714,457.22608181454603,457.21628292292746,457.4514563217734,457.60823858767066,457.5037170770725,457.42532594412387
19,2021-06-28 06:00:00 EDT,3,0.8,0.0006,0.0011,0.0007,10,true,0.0006778030435543167,0.0006587690155621634,0.05,0.0006,10059.458,10059.458,0.542,1,457.3921586274785,457.2635241175643,457.1992068626072,457.27424366005715,457.3814390849857,457.1616884638823,457.18848732011435,457.0812918951858
19,2023-12-07 06:34:00 EST,3,0.8,0.0006,0.0011,0.0007,10,true,0.0006778030435543167,0.0006587690155621634,0.05,0.0006,10059.458,10059.458,0.542,1,457.52,457.46,457.52,457.5987,457.59,457.67,457.8214,457.85
19,2023-12-14 06:32:00 EST,3,0.8,0.0006,0.0011,0.0007,10,true,0.0006778030435543167,0.0006587690155621634,0.05,0.0006,10059.458,10059.458,0.542,1,457.5344021693077,457.5150241504957,457.348663858995,457.2437318871282,457.20497584950425,457.06932971782055,457.1177747648505,457.0887077366325
312,2019-05-07 10:03:00 EDT,3,0.7143,0.0013,0.0023,0.0024,7,true,0.0021607700198616434,0.0022483192176721662,0.0065,0.0012,10253.916,10263.916,0.542,1,458.0105089288823,457.7553232150938,457.7361842865597,457.9626616075469,458.17,458.44113482090023,458.6963205346887,458.4093960977478
312,2021-03-02 08:24:00 EST,3,0.7143,0.0013,0.0023,0.0024,7,true,0.0021607700198616434,0.0022483192176721662,0.0065,0.0012,10253.916,10263.916,0.542,1,458.2295944623841,458.3238149562721,458.27894244605795,458.0658863542538,457.91984458872747,458.10004128328814,458.2649271475921,458.7595847405039
312,2021-11-05 11:46:00 EDT,3,0.7143,0.0013,0.0023,0.0024,7,true,0.0021607700198616434,0.0022483192176721662,0.0065,0.0012,10253.916,10263.916,0.542,1,458.3166801126905,458.38513083194607,458.2580080676143,458.0428772356683,458.09665994365474,458.355794809408,458.09665994365474,458.2433400563453
312,2022-01-18 05:34:00 EST,3,0.7143,0.0013,0.0023,0.0024,7,true,0.0021607700198616434,0.0022483192176721662,0.0065,0.0012,10253.916,10263.916,0.542,1,458.07185102709764,458.0918406346134,458.07185102709764,457.9219289707296,457.86196014818233,457.83697313878764,457.62208485799334,457.8019913256351
312,2022-11-07 10:41:00 EST,3,0.7143,0.0013,0.0023,0.0024,7,true,0.0021607700198616434,0.0022483192176721662,0.0065,0.0012,10253.916,10263.916,0.542,1,457.95301207672276,458.0253413844818,458.1338353461205,458.03739626910834,458.2423293077591,458.1193694845687,458.00123161522885,458.0253413844818
