ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8
30,2016-06-27 07:09:00 EDT,2,0.7143,-0.0015,-0.0023,-0.0024,14,true,-0.001505268439538396,-0.002360253356153503,0.0323,0.0035,9884.458,9819.458,0.542,1,382.30487104867035,382.3240592072253,382.093801304566,381.98634761665835,382.01704867034624,382.17055393878576,381.84435524335174,381.53734470647265
30,2018-04-24 07:24:00 EDT,2,0.7143,-0.0015,-0.0023,-0.0024,14,true,-0.001505268439538396,-0.002360253356153503,0.0323,0.0035,9884.458,9819.458,0.542,1,382.3626054329882,382.0469353144229,381.8675772925109,381.9895407474111,382.1904217319526,382.46304592525894,382.5204404922707,382.49174320876483
30,2019-05-06 06:01:00 EDT,2,0.7143,-0.0015,-0.0023,-0.0024,14,true,-0.001505268439538396,-0.002360253356153503,0.0323,0.0035,9884.458,9819.458,0.542,1,382.1451613787983,381.9218467841443,381.88241513117424,381.9744223214378,381.9218467841443,381.94813455279103,382.19786835493505,382.1715805862883
30,2019-05-07 07:11:00 EDT,2,0.7143,-0.0015,-0.0023,-0.0024,14,true,-0.001505268439538396,-0.002360253356153503,0.0323,0.0035,9884.458,9819.458,0.542,1,382.2875968562823,382.10223245507734,382.1419533981927,382.43324031437174,382.47282885434333,382.5126822006024,382.40675968562823,382.19491465567984
30,2020-06-19 09:41:00 EDT,2,0.7143,-0.0015,-0.0023,-0.0024,14,true,-0.001505268439538396,-0.002360253356153503,0.0323,0.0035,9884.458,9819.458,0.542,1,382.209756807451,382.29632753379474,382.32106202703574,382.4942034797231,382.4324909190867,382.4942034797231,382.2715930405537,381.7583523058017
30,2020-07-16 05:54:00 EDT,2,0.7143,-0.0015,-0.0023,-0.0024,14,true,-0.001505268439538396,-0.002360253356153503,0.0323,0.0035,9884.458,9819.458,0.542,1,382.40806429463174,382.27677153558056,382.0739839013733,382.0141860174782,382.08580024968796,381.966443196005,381.6203077403247,381.82321473158555
30,2021-03-29 06:40:00 EDT,2,0.7143,-0.0015,-0.0023,-0.0024,14,true,-0.001505268439538396,-0.002360253356153503,0.0323,0.0035,9884.458,9819.458,0.542,1,382.177409286983,381.95422583100736,382.09007663029683,382.14829840142096,381.9251149454453,381.95422583100736,381.75044963207307,381.84748591727987
30,2021-12-01 10:42:00 EST,2,0.7143,-0.0015,-0.0023,-0.0024,14,true,-0.001505268439538396,-0.002360253356153503,0.0323,0.0035,9884.458,9819.458,0.542,1,382.09212495603236,382.39477884277176,382.4536282096377,382.71424683432997,382.12575316567006,382.05849674639467,381.89876275061556,381.62973707351387
30,2022-05-03 10:51:00 EDT,2,0.7143,-0.0015,-0.0023,-0.0024,14,true,-0.001505268439538396,-0.002360253356153503,0.0323,0.0035,9884.458,9819.458,0.542,1,382.57634505314803,382.8154610167861,382.98100283776637,382.92122384685683,382.9074286951085,383.1281511230821,383.3856606223847,383.29369294406234
30,2022-10-06 11:18:00 EDT,2,0.7143,-0.0015,-0.0023,-0.0024,14,true,-0.001505268439538396,-0.002360253356153503,0.0323,0.0035,9884.458,9819.458,0.542,1,381.9185662295959,382.1027663901525,382.133466416912,382.0925330478994,382.3585999464811,382.6656002140754,382.8565543805191,382.5325667647846
