ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8
38,2018-04-23 10:22:00 EDT,2,1.0,-0.0007,-0.0007,-0.0004,5,true,-0.0007144737336893646,0.00026653646833003594,0.0256,0.0,9929.458,10024.458,0.542,1,515.5900588500732,515.4156176437408,515.1927205467604,515.2411764374082,515.435,515.1830293686307,515.105499943594,515.0667352310758
38,2022-10-10 08:19:00 EDT,2,1.0,-0.0007,-0.0007,-0.0004,5,true,-0.0007144737336893646,0.00026653646833003594,0.0256,0.0,9929.458,10024.458,0.542,1,515.350413299364,515.1687880487601,515.0199383555937,514.3043148307554,514.5333143587037,514.0363853830561,514.1755025962846,514.3257835365007
38,2023-08-10 07:11:00 EDT,2,1.0,-0.0007,-0.0007,-0.0004,5,true,-0.0007144737336893646,0.00026653646833003594,0.0256,0.0,9929.458,10024.458,0.542,1,515.4464847370765,515.7106336898395,515.8025115864526,515.6876642156861,515.4482074476381,515.1134273618537,515.1191697303921,515.2742136809268
38,2024-03-08 06:25:00 EST,2,1.0,-0.0007,-0.0007,-0.0004,5,true,-0.0007144737336893646,0.00026653646833003594,0.0256,0.0,9929.458,10024.458,0.542,1,515.2589,515.56,515.3,515.36,514.88,514.76,514.78,514.4197
38,2024-08-20 10:25:00 EDT,2,1.0,-0.0007,-0.0007,-0.0004,5,true,-0.0007144737336893646,0.00026653646833003594,0.0256,0.0,9929.458,10024.458,0.542,1,515.370454212061,515.4903249610904,515.3981166926062,515.3426995232472,515.545649922181,515.4442208268483,515.3520125583641,515.3335709046672
142,2020-12-10 07:03:00 EST,2,1.0,0.0009,0.0014,0.0008,4,true,0.0009713135105345186,0.00035332988911687815,0.014,0.0,10023.916,10058.916,0.542,1,512.7011720016152,512.8240953960831,512.908002149986,513.0478467398244,513.0312052336336,513.1483949999181,513.2156602476304,513.2576136245818
142,2022-03-17 11:19:00 EDT,2,1.0,0.0009,0.0014,0.0008,4,true,0.0009713135105345186,0.00035332988911687815,0.014,0.0,10023.916,10058.916,0.542,1,512.7719893318745,512.9472440675647,512.7369383847364,512.6084182452302,512.6201018942761,512.55,512.4798981057238,512.7427802092594
142,2022-12-19 06:46:00 EST,2,1.0,0.0009,0.0014,0.0008,4,true,0.0009713135105345186,0.00035332988911687815,0.014,0.0,10023.916,10058.916,0.542,1,512.8904333546857,512.9645751643425,512.8635216270425,512.9240730142395,512.9846244014366,512.937528878061,512.9106171504179,512.9913523333473
142,2024-03-08 08:09:00 EST,2,1.0,0.0009,0.0014,0.0008,4,true,0.0009713135105345186,0.00035332988911687815,0.014,0.0,10023.916,10058.916,0.542,1,512.85,513.02,512.97,512.96,512.98,512.92,512.65,512.78
194,2018-01-29 06:20:00 EST,2,1.0,0.0006,0.0011,0.0007,6,true,0.0006999449921577127,0.000612251797973373,0.0154,0.0,10093.374,10118.374,0.542,1,511.57542210923117,511.7010281406154,511.77280301569203,512.0329869378452,512.2034522661523,512.1496211098448,512.0957899535372,512.0042769878145
