ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8
15,2017-12-07 09:35:00 EST,2,1.0,0.0007,-0.0007,-0.0008,4,true,0.0007010895310279482,0.0007625576135065014,0.0625,0.0,10054.458,10059.458,0.542,1,406.3741971577452,406.39729928943626,406.2894893415443,406.2864090573188,406.243285078162,406.243285078162,406.12007370914256,406.12007370914256
15,2021-04-06 09:16:00 EDT,2,1.0,0.0007,-0.0007,-0.0008,4,true,0.0007010895310279482,0.0007625576135065014,0.0625,0.0,10054.458,10059.458,0.542,1,406.43,406.4,406.52,406.41,406.33,406.25,406.3,406.265
15,2021-10-27 11:05:00 EDT,2,1.0,0.0007,-0.0007,-0.0008,4,true,0.0007010895310279482,0.0007625576135065014,0.0625,0.0,10054.458,10059.458,0.542,1,406.3729248906573,406.3381768555362,406.34708660813135,406.2668988347748,406.3114475977506,406.1822561851206,405.8664054556217,405.8392307102064
15,2024-04-04 09:52:00 EDT,2,1.0,0.0007,-0.0007,-0.0008,4,true,0.0007010895310279482,0.0007625576135065014,0.0625,0.0,10054.458,10059.458,0.542,1,406.4361141309548,406.3583288035676,406.3505502708289,406.3038790743966,406.3466610044595,406.27276494344164,406.2688756770723,405.9071739047218
19,2020-07-22 09:47:00 EDT,2,1.0,0.0005,-0.001,-0.0008,4,true,0.0006151423439383873,0.00046760022641694615,0.1,0.0,10103.916,10093.916,0.542,1,406.385031639737,406.2976423788167,406.1852847576335,405.9855378755299,405.9855378755299,405.84821189408365,405.7857909934263,405.7733068132948
19,2021-04-06 09:20:00 EDT,2,1.0,0.0005,-0.001,-0.0008,4,true,0.0006151423439383873,0.00046760022641694615,0.1,0.0,10103.916,10093.916,0.542,1,406.33,406.25,406.3,406.265,406.16,406.14,405.96,405.985
19,2021-10-11 08:49:00 EDT,2,1.0,0.0005,-0.001,-0.0008,4,true,0.0006151423439383873,0.00046760022641694615,0.1,0.0,10103.916,10093.916,0.542,1,406.4656357662735,406.372909489151,406.17354799333776,406.1596390517694,405.9278233589632,406.178277033471,406.1531482123708,406.1967295626184
19,2023-09-05 09:26:00 EDT,2,1.0,0.0005,-0.001,-0.0008,4,true,0.0006151423439383873,0.00046760022641694615,0.1,0.0,10103.916,10093.916,0.542,1,406.3919280965827,406.29560485136847,406.2925326277875,406.3377123863308,406.2744607243703,406.1931371589924,406.3377123863308,406.229280965827
364,2017-01-20 10:37:00 EST,2,0.8571,0.0008,0.0005,0.0005,7,false,0.0,0.0,0.0083,0.0004,10138.374,10128.374,0.542,1,405.76896429833863,405.92135737009545,405.9392859667727,406.01996465182043,406.0110003534818,406.0110003534818,405.9930717568045,405.93032166843403
364,2019-06-20 07:42:00 EDT,2,0.8571,0.0008,0.0005,0.0005,7,false,0.0,0.0,0.0083,0.0004,10138.374,10128.374,0.542,1,405.6911617806732,405.6911617806732,405.76000000000005,405.9252117263843,406.076380456026,406.1041910966341,406.12484256243215,406.214332247557
