ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8
6,2017-08-21 11:56:00 EDT,3,0.7273,0.0006,0.001,0.0009,11,true,0.000606866258235993,0.0009096921514739156,0.1429,0.0009,10054.458,10079.458,0.542,1,459.67890593509645,459.5654703245178,459.4614876814873,459.5465643894213,459.2251634927817,460.6052967548225,460.8227150084317,460.9739624892033
6,2019-11-25 05:09:00 EST,3,0.7273,0.0006,0.001,0.0009,11,true,0.000606866258235993,0.0009096921514739156,0.1429,0.0009,10054.458,10079.458,0.542,1,459.71877629307596,459.8069407326898,459.82163480595875,459.82163480595875,459.8363288792277,459.77578929735955,459.79224665942087,459.7628585128829
6,2020-08-26 08:00:00 EDT,3,0.7273,0.0006,0.001,0.0009,11,true,0.000606866258235993,0.0009096921514739156,0.1429,0.0009,10054.458,10079.458,0.542,1,459.60022454051557,459.66,459.62014969367704,459.7064920240435,459.5935828227951,459.8326846607329,459.9389521442608,460.1382036758756
6,2020-11-27 07:50:00 EST,3,0.7273,0.0006,0.001,0.0009,11,true,0.000606866258235993,0.0009096921514739156,0.1429,0.0009,10054.458,10079.458,0.542,1,459.7359203897927,459.74224708894207,460.10995484350485,460.0269485506648,459.9257213642745,459.9510281608721,459.7675538855397,459.67898009744823
6,2020-12-03 04:42:00 EST,3,0.7273,0.0006,0.001,0.0009,11,true,0.000606866258235993,0.0009096921514739156,0.1429,0.0009,10054.458,10079.458,0.542,1,459.6498551919566,459.6913111359364,459.73514672624725,459.69907629764856,459.5097065475055,459.59712723903976,459.6097769379581,459.63495109125097
6,2021-06-25 06:20:00 EDT,3,0.7273,0.0006,0.001,0.0009,11,true,0.000606866258235993,0.0009096921514739156,0.1429,0.0009,10054.458,10079.458,0.542,1,459.6950457456542,459.7031332254206,459.66,459.68156661271036,459.697741572243,459.7139165317757,459.7354831444859,459.68167444577387
6,2021-10-20 05:49:00 EDT,3,0.7273,0.0006,0.001,0.0009,11,true,0.000606866258235993,0.0009096921514739156,0.1429,0.0009,10054.458,10079.458,0.542,1,459.97566558117893,460.1284069914268,460.2200518375755,460.0978587093772,459.98584834186215,459.9705742008373,459.8109085133249,459.91456901707977
6,2022-03-29 10:13:00 EDT,3,0.7273,0.0006,0.001,0.0009,11,true,0.000606866258235993,0.0009096921514739156,0.1429,0.0009,10054.458,10079.458,0.542,1,459.72,459.79,459.68,459.6055,459.46,459.59,459.25,459.29
6,2023-06-06 07:06:00 EDT,3,0.7273,0.0006,0.001,0.0009,11,true,0.000606866258235993,0.0009096921514739156,0.1429,0.0009,10054.458,10079.458,0.542,1,459.59558877107764,459.606323975898,459.40772268672055,459.60814896071753,459.4399283011818,459.4506635060022,459.4882367228736,459.4099770797328
6,2023-07-19 06:05:00 EDT,3,0.7273,0.0006,0.001,0.0009,11,true,0.000606866258235993,0.0009096921514739156,0.1429,0.0009,10054.458,10079.458,0.542,1,459.6604031313145,459.7460685356562,459.55458116124555,459.6604031313145,459.6704814141783,459.65032484845085,459.80149909140664,459.87204707145264
6,2023-11-03 07:29:00 EDT,3,0.7273,0.0006,0.001,0.0009,11,true,0.000606866258235993,0.0009096921514739156,0.1429,0.0009,10054.458,10079.458,0.542,1,459.75527070907117,459.363602238445,459.83995578380114,460.0167358773,459.98815466457864,459.90876240701925,460.0199115676024,460.0502923381618
177,2021-09-02 09:27:00 EDT,3,1.0,0.0006,0.0,0.0001,5,false,0.0,0.0,0.0116,0.0009,10053.916,10088.916,0.542,1,459.9911054177618,460.0318386642225,459.9503721713011,459.8895262495307,459.98094750093867,459.9606316672925,459.9098420831769,459.9403158336463
177,2021-12-13 07:56:00 EST,3,1.0,0.0006,0.0,0.0001,5,false,0.0,0.0,0.0116,0.0009,10053.916,10088.916,0.542,1,459.90523926183477,459.90523926183477,459.92492024605514,460.03316565926724,460.0626871355978,459.9347607381653,460.1315705803691,460.33330066862806
177,2022-01-04 07:59:00 EST,3,1.0,0.0006,0.0,0.0001,5,false,0.0,0.0,0.0116,0.0009,10053.916,10088.916,0.542,1,459.92,459.977879480672,459.86115586131683,459.95858632044803,460.0550521215681,460.0839918619041,460.12257818235213,460.180361197223
177,2022-03-30 06:34:00 EDT,3,1.0,0.0006,0.0,0.0001,5,false,0.0,0.0,0.0116,0.0009,10053.916,10088.916,0.542,1,459.88,460.11,460.04,460.35,460.31,460.34,460.365,460.27
177,2023-04-03 09:48:00 EDT,3,1.0,0.0006,0.0,0.0001,5,false,0.0,0.0,0.0116,0.0009,10053.916,10088.916,0.542,1,460.1423025377732,459.98746662754877,460.0211999413232,459.9655399735954,459.98746662754877,459.9424888758496,459.83566671556406,459.96486530732
232,2016-08-09 09:44:00 EDT,3,0.7,0.001,0.0001,0.0002,10,true,-0.0000917052592966786,0.00024194005173246765,0.0132,0.0009,10048.374,10108.374,0.542,1,459.04789903250946,459.06894951625475,459.02684854876424,459.04789903250946,459.1110504837452,459.04789903250946,459.1110504837452,459.1131555321197
