ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8,Close Price 9,Close Price 10,Close Price 11,Close Price 12
72,2017-03-27 07:40:00 EDT,3,0.7,-0.0006,0.0019,0.0014,10,true,0.0011759331476321945,0.0006308179258058739,0.0137,0.0024,10059.458,10029.458,0.542,1,272.78,272.8969524952838,272.8384762476419,272.873561996227,272.81508574858515,272.7835085748585,272.7566095009432,272.8033904990567,272.7566095009432,272.7683047504716,272.67474275424456,272.5343997599039
72,2018-03-06 05:31:00 EST,3,0.7,-0.0006,0.0019,0.0014,10,true,0.0011759331476321945,0.0006308179258058739,0.0137,0.0024,10059.458,10029.458,0.542,1,272.93,272.91,272.82,272.77,272.76,272.65,272.748,272.63,272.8,272.885,272.75,272.685
72,2019-01-25 05:12:00 EST,3,0.7,-0.0006,0.0019,0.0014,10,true,0.0011759331476321945,0.0006308179258058739,0.0137,0.0024,10059.458,10029.458,0.542,1,272.78,272.9338117434779,272.92355762724605,272.99020938275316,272.9953364408691,272.98508232463723,272.9748282084053,272.8825411623186,272.8312705811593,272.77292465979997,272.6877129539132,272.6672047214495
72,2020-02-10 05:06:00 EST,3,0.7,-0.0006,0.0019,0.0014,10,true,0.0011759331476321945,0.0006308179258058739,0.0137,0.0024,10059.458,10029.458,0.542,1,272.84146924059183,272.84146924059183,272.82507744310067,272.7840979493727,272.9234282280477,272.90703643055656,272.93162412679334,272.8433542973034,272.8168815443551,272.7881958987455,272.84966513933745,272.8906446330654
72,2021-01-08 05:59:00 EST,3,0.7,-0.0006,0.0019,0.0014,10,true,0.0011759331476321945,0.0006308179258058739,0.0137,0.0024,10059.458,10029.458,0.542,1,272.6024307808541,272.6955865455392,272.7493302559344,272.73858151385537,272.76007899801346,272.79590813827696,272.8030739663297,272.8317372785405,272.8245714504878,272.7744106541189,272.72424985774995,272.54510415643244
72,2021-03-19 07:45:00 EDT,3,0.7,-0.0006,0.0019,0.0014,10,true,0.0011759331476321945,0.0006308179258058739,0.0137,0.0024,10059.458,10029.458,0.542,1,272.9059436720874,272.867460883394,273.01789360283175,273.0353857795106,273.12984353357615,273.08436387421125,273.04588108551786,272.95492176678806,273.0528779561894,273.1648278869338,273.4307089724516,273.4314786282255
72,2022-03-24 11:15:00 EDT,3,0.7,-0.0006,0.0019,0.0014,10,true,0.0011759331476321945,0.0006308179258058739,0.0137,0.0024,10059.458,10029.458,0.542,1,272.78,272.77392133704734,272.8529439554317,272.82248985403896,272.8529439554317,272.93804523676874,273.11736579387184,273.1007710440111,273.1021691364902,273.15687710306406,273.19942774373254,273.30276501392757
72,2023-02-17 08:20:00 EST,3,0.7,-0.0006,0.0019,0.0014,10,true,0.0011759331476321945,0.0006308179258058739,0.0137,0.0024,10059.458,10029.458,0.542,1,272.6925144323284,272.53773227414024,272.4906246607786,272.4569763655203,272.46370602457193,272.33584250259037,272.24835693491883,272.1743306853505,272.2820052301771,272.37622045690034,272.3291128435387,272.29546454828045
72,2023-04-14 09:16:00 EDT,3,0.7,-0.0006,0.0019,0.0014,10,true,0.0011759331476321945,0.0006308179258058739,0.0137,0.0024,10059.458,10029.458,0.542,1,272.84780393318573,272.9340515977077,273.00371317289853,272.9572721227713,272.9234365005358,272.78809401159356,272.66867416840927,272.56915763242233,272.74165296146634,272.7018463470716,272.6885774756066,272.62223311828205
72,2024-02-02 06:48:00 EST,3,0.7,-0.0006,0.0019,0.0014,10,true,0.0011759331476321945,0.0006308179258058739,0.0137,0.0024,10059.458,10029.458,0.542,1,272.8245342111862,272.8687369021899,272.8549235612512,272.83005954756163,272.95161694782183,272.9681929569482,272.9157022613813,272.89636358406716,272.80243286568435,272.7527048383052,272.672587460861,272.6587741199223
