ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8
11,2018-05-01 10:21:00 EDT,2,0.7778,0.0006,0.0007,0.0003,9,true,0.0006698943393928332,0.0005260235772418361,0.0833,0.0007,10049.458,10039.458,0.542,1,387.5899,387.648656901387,387.78085992950804,387.78085992950804,387.98650908436286,388.0599552110968,388.00119830970965,387.8689952815887
11,2020-05-07 07:31:00 EDT,2,0.7778,0.0006,0.0007,0.0003,9,true,0.0006698943393928332,0.0005260235772418361,0.0833,0.0007,10049.458,10039.458,0.542,1,387.6033337272979,387.65706863648967,387.7644041176002,387.8854420005546,387.77797218217114,387.8182733640649,387.804839636767,387.7108035456814
11,2020-07-13 07:24:00 EDT,2,0.7778,0.0006,0.0007,0.0003,9,true,0.0006698943393928332,0.0005260235772418361,0.0833,0.0007,10049.458,10039.458,0.542,1,387.698239309895,387.72231471209386,387.8487105736381,387.79454091869053,387.8667671252872,387.9630687340828,387.90288022858556,387.91491792968503
11,2020-09-22 09:40:00 EDT,2,0.7778,0.0006,0.0007,0.0003,9,true,0.0006698943393928332,0.0005260235772418361,0.0833,0.0007,10049.458,10039.458,0.542,1,387.6015839926007,387.542691949088,387.6961181145519,387.80233622910384,387.80233622910384,387.79643522273983,387.80233622910384,387.84954428001583
11,2020-12-21 08:10:00 EST,2,0.7778,0.0006,0.0007,0.0003,9,true,0.0006698943393928332,0.0005260235772418361,0.0833,0.0007,10049.458,10039.458,0.542,1,387.6109979206358,387.6742916825432,387.54770415872844,387.7270364841326,387.7222894519896,387.79033024604,387.75340888492735,387.8325260873115
11,2021-08-30 05:50:00 EDT,2,0.7778,0.0006,0.0007,0.0003,9,true,0.0006698943393928332,0.0005260235772418361,0.0833,0.0007,10049.458,10039.458,0.542,1,387.4739181394009,387.45673564153435,387.6377532565583,387.637151869133,387.7917943499319,387.731655607399,387.7916225249532,387.7917943499319
11,2022-02-15 06:09:00 EST,2,0.7778,0.0006,0.0007,0.0003,9,true,0.0006698943393928332,0.0005260235772418361,0.0833,0.0007,10049.458,10039.458,0.542,1,387.54643164883475,387.6681430320975,387.407332925106,387.5377379786017,387.5203506381356,387.45080127627125,387.3464772334747,387.3377835632416
11,2022-07-07 07:04:00 EDT,2,0.7778,0.0006,0.0007,0.0003,9,true,0.0006698943393928332,0.0005260235772418361,0.0833,0.0007,10049.458,10039.458,0.542,1,387.74,387.82,387.85,387.8699,387.905,387.89,387.77,387.69
11,2023-02-03 07:37:00 EST,2,0.7778,0.0006,0.0007,0.0003,9,true,0.0006698943393928332,0.0005260235772418361,0.0833,0.0007,10049.458,10039.458,0.542,1,387.5526657524377,387.5061229429848,387.5433571905471,387.41303732407897,387.53404862865654,387.65505993323404,387.59958090436623,387.557320033383
15,2016-08-02 10:14:00 EDT,2,0.7273,-0.0006,0.0008,0.0007,11,true,0.000733776656729972,0.00029929750309020433,0.125,0.0009,10103.916,10058.916,0.542,1,387.94201153148964,387.9726589323727,387.9059557657448,387.76173270276547,387.83384423425514,387.79778846851036,387.81581635138275,387.91496970718106
