ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8,Close Price 9,Close Price 10
5,2016-08-01 07:58:00 EDT,3,0.75,-0.0009,-0.0007,-0.0011,8,false,0.0,0.0,0.1667,0.0011,9949.458,9914.458,0.542,1,389.2920710140923,389.27414202818466,389.2203550704615,389.2024260845538,389.17553260569224,389.1665681127384,389.114574053606,389.13071014092293,388.9872782536613,388.96934926775356
5,2016-08-26 10:22:00 EDT,3,0.75,-0.0009,-0.0007,-0.0011,8,false,0.0,0.0,0.1667,0.0011,9949.458,9914.458,0.542,1,389.13018013856816,389.2021080831409,389.1841260969977,389.1661441108545,389.25605404157045,389.1247855427252,389.25605404157045,389.2200900692841,389.13018013856816,389.0402702078522
5,2017-03-10 07:59:00 EST,3,0.75,-0.0009,-0.0007,-0.0011,8,false,0.0,0.0,0.1667,0.0011,9949.458,9914.458,0.542,1,389.3757285159548,389.4743212898869,389.4414570319095,389.3921606449435,389.3921606449435,389.32643212898876,389.27713574202266,389.2015479486747,389.0142216782037,388.8334682593281
5,2019-03-28 06:56:00 EDT,3,0.75,-0.0009,-0.0007,-0.0011,8,false,0.0,0.0,0.1667,0.0011,9949.458,9914.458,0.542,1,389.35177028294373,389.4489104758361,389.3240159421174,389.18524423798544,389.11585838591947,388.9215780001348,388.83137639244904,388.7293791899121,388.65791176228413,388.64403459187093
5,2021-01-21 06:41:00 EST,3,0.75,-0.0009,-0.0007,-0.0011,8,false,0.0,0.0,0.1667,0.0011,9949.458,9914.458,0.542,1,389.2187317009638,389.2187317009638,389.14774524615785,389.1363874133889,389.2592953894244,389.35056368846057,389.40126829903625,389.47225475384215,389.4671842927846,389.4316910653816
5,2022-08-24 09:32:00 EDT,3,0.75,-0.0009,-0.0007,-0.0011,8,false,0.0,0.0,0.1667,0.0011,9949.458,9914.458,0.542,1,389.3288678605181,389.21566069740953,389.30056606974097,389.2345285579276,389.2675473138343,389.25339641844573,389.22509462766857,389.3283018247025,389.42377319892404,389.30056606974097
5,2022-12-15 07:51:00 EST,3,0.75,-0.0009,-0.0007,-0.0011,8,false,0.0,0.0,0.1667,0.0011,9949.458,9914.458,0.542,1,389.4801,389.53,389.27,389.33,389.2511,389.01,388.88,388.76,388.87,388.87
5,2023-04-17 07:49:00 EDT,3,0.75,-0.0009,-0.0007,-0.0011,8,false,0.0,0.0,0.1667,0.0011,9949.458,9914.458,0.542,1,389.4046477845986,389.4945631799672,389.5608166291862,389.6554644137847,389.5892109645658,389.74064741992345,389.70449196620683,389.707520695314,389.6933235276242,389.57028140764606
15,2018-12-18 08:34:00 EST,3,1.0,-0.0012,-0.0012,-0.0008,5,true,-0.0014417082294264666,-0.0005102493390303258,0.125,0.0011,9838.916,9878.916,0.542,1,388.6881717581047,388.67301940461346,388.71847646508735,388.74878117206987,388.6881717581047,388.57452910692024,388.30936292082293,388.53664822319206,388.3548199812968,388.4154293952618
15,2018-12-27 08:25:00 EST,3,1.0,-0.0012,-0.0012,-0.0008,5,true,-0.0014417082294264666,-0.0005102493390303258,0.125,0.0011,9838.916,9878.916,0.542,1,388.9264070205976,388.8377674168014,389.060978055452,388.8377674168014,388.70496917402295,388.48320900161633,388.418743835219,388.61213933441087,388.75718595880477,388.7249533756061
15,2020-01-30 07:33:00 EST,3,1.0,-0.0012,-0.0012,-0.0008,5,true,-0.0014417082294264666,-0.0005102493390303258,0.125,0.0011,9838.916,9878.916,0.542,1,388.7382283901177,388.846041525476,388.85802076273797,388.81154132216125,388.91791694904816,388.47468517035304,388.16334479391287,388.1512457642782,388.19916271332636,388.33081453083605
15,2020-10-01 08:07:00 EDT,3,1.0,-0.0012,-0.0012,-0.0008,5,true,-0.0014417082294264666,-0.0005102493390303258,0.125,0.0011,9838.916,9878.916,0.542,1,388.9046483516484,389.04324175824183,388.9623956043956,388.87,388.8988736263737,388.9623956043956,389.0201428571429,388.95084615384616,388.97971978021985,388.6852087912089
15,2022-12-15 08:01:00 EST,3,1.0,-0.0012,-0.0012,-0.0008,5,true,-0.0014417082294264666,-0.0005102493390303258,0.125,0.0011,9838.916,9878.916,0.542,1,388.735,388.9211,388.81,388.54,388.59,388.48,388.09,388.075,388.0995,388.18
56,2016-06-06 05:36:00 EDT,3,0.7,0.001,-0.0005,-0.0003,20,true,-0.0005812811751306857,-0.00034414096381317,0.0526,0.0026,9793.374,9853.374,0.542,1,388.58077793335866,388.6158365767989,388.6342884943991,388.7265480823998,388.874163423201,388.9110672584014,388.89261534080117,388.98487492880196,388.9110672584014,389.10481239320296
56,2017-10-09 05:34:00 EDT,3,0.7,0.001,-0.0005,-0.0003,20,true,-0.0005812811751306857,-0.00034414096381317,0.0526,0.0026,9793.374,9853.374,0.542,1,388.8060730136287,388.8518777738502,388.836609520443,388.7984388869251,388.6991952397785,388.6991952397785,388.7282049212521,388.65339047955695,388.5190298495738,388.5312444522996
