ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8,Close Price 9,Close Price 10,Close Price 11,Close Price 12
180,2016-08-31 11:18:00 EDT,3,1.0,0.0012,0.0006,0.0009,4,false,0.0,0.0,0.0055,0.0,10024.458,10034.458,0.542,1,217.25,217.25,217.279,217.25,217.27,217.26,217.29,217.34,217.36,217.43,217.401,217.38
180,2021-02-24 07:32:00 EST,3,1.0,0.0012,0.0006,0.0009,4,false,0.0,0.0,0.0055,0.0,10024.458,10034.458,0.542,1,217.29776336864194,217.39840305495858,217.40396325862247,217.42342397144614,217.431764276942,217.4373244806059,217.431764276942,217.49848672090883,217.49292651724494,217.431764276942,217.4262040732781,217.44010458243784
180,2021-04-29 10:35:00 EDT,3,1.0,0.0012,0.0006,0.0009,4,false,0.0,0.0,0.0055,0.0,10024.458,10034.458,0.542,1,217.3408461624449,217.3874624874958,217.36156452913417,217.3822828958235,217.38487269165967,217.4081290582684,217.40294946659606,217.40559105834896,217.50659309595932,217.55838901268254,217.57910737937186,217.71377676285232
180,2023-07-11 07:55:00 EDT,3,1.0,0.0012,0.0006,0.0009,4,false,0.0,0.0,0.0055,0.0,10024.458,10034.458,0.542,1,217.35929568999077,217.34456330811398,217.40856787018075,217.43665301288902,217.4578400503707,217.51696666659865,217.55638441075064,217.56623884678862,217.60693766762552,217.5711660648076,217.5958021549026,217.5760932828266
246,2016-06-28 06:42:00 EDT,3,0.8889,0.0014,0.0007,0.001,9,false,0.0,0.0,0.0081,0.0014,10048.916,10073.916,0.542,1,217.19107765742612,217.23418395447038,217.24496052873144,217.3635028456031,217.43893886543054,217.47126858821375,217.43893886543054,217.44432715256107,217.42816229116946,217.47126858821375,217.42816229116946,217.47342390306594
246,2016-09-01 05:54:00 EDT,3,0.8889,0.0014,0.0007,0.001,9,false,0.0,0.0,0.0081,0.0014,10048.916,10073.916,0.542,1,217.12,217.18,217.27,217.23,217.17,217.225,217.22,217.15,217.17,217.13,217.245,217.35
246,2018-02-15 10:36:00 EST,3,0.8889,0.0014,0.0007,0.001,9,false,0.0,0.0,0.0081,0.0014,10048.916,10073.916,0.542,1,217.20357367635486,217.19479070930169,217.21874425581035,217.3145584418449,217.33052747285063,217.4183571433823,217.52215584491972,217.4902177829082,217.44630294764235,217.26665134882762,217.48223326740532,217.49820229841106
246,2018-05-03 07:44:00 EDT,3,0.8889,0.0014,0.0007,0.001,9,false,0.0,0.0,0.0081,0.0014,10048.916,10073.916,0.542,1,217.36583522880608,217.47468560854315,217.43282007787502,217.5751628821466,217.88555392651995,218.03568371949572,218.05242993176302,218.02731061336212,217.96032576429317,218.03568371949572,218.1612803115001,218.1989592891014
246,2018-06-29 07:58:00 EDT,3,0.8889,0.0014,0.0007,0.001,9,false,0.0,0.0,0.0081,0.0014,10048.916,10073.916,0.542,1,217.15019974344878,217.2298002565512,217.25368041048193,217.23776030786146,217.2696005131024,217.29348066703318,217.34124097489465,217.35716107751512,217.3810412314458,217.38900128275608,217.36512112882534,217.54963511819682
246,2018-08-13 11:53:00 EDT,3,0.8889,0.0014,0.0007,0.001,9,false,0.0,0.0,0.0081,0.0014,10048.916,10073.916,0.542,1,217.29668847313357,217.25162511083525,217.29784394396168,217.31325022167053,217.30554708281613,217.29014080510728,217.2670313885441,217.30554708281613,217.96031388544068,218.03734527398478,218.12593137081046,218.06815782940237
246,2019-09-19 11:35:00 EDT,3,0.8889,0.0014,0.0007,0.001,9,false,0.0,0.0,0.0081,0.0014,10048.916,10073.916,0.542,1,217.1791778364642,217.1791778364642,217.244110817679,217.31625857458434,217.36676200441806,217.39922849502548,217.3956211071802,217.41005065856126,217.36676200441806,217.37397678010862,217.37397678010862,217.33790290165595
246,2021-10-26 11:54:00 EDT,3,0.8889,0.0014,0.0007,0.001,9,false,0.0,0.0,0.0081,0.0014,10048.916,10073.916,0.542,1,217.204274728886,217.2899231022018,217.21379121480996,217.17096702815206,217.14241757038013,217.1043516266842,216.95684609486253,217.17572527111406,217.03297798225438,217.0139450104064,216.95208785190053,216.87595596450873
246,2022-04-19 11:48:00 EDT,3,0.8889,0.0014,0.0007,0.001,9,false,0.0,0.0,0.0081,0.0014,10048.916,10073.916,0.542,1,217.2071008053631,217.37566588679923,217.32192049851525,217.59553338432468,217.79097115990282,217.71279604967154,217.6786432983893,217.3878807477729,217.11915380635293,217.17534216683165,217.24863133267345,217.34146427607305
249,2016-06-14 06:24:00 EDT,3,0.8889,0.0011,0.0011,0.0013,9,true,-0.0002968349968461648,0.000369692663780273,0.012,0.0014,10038.374,10088.374,0.542,1,217.20727469566472,217.08182408699417,216.99819034788047,217.04000721743733,217.1027325217726,217.15500360871866,217.16545782610785,217.2595457826108,217.25431867391617,217.3431795217245,217.2595457826108,217.22818313044314
249,2016-09-01 05:57:00 EDT,3,0.8889,0.0011,0.0011,0.0013,9,true,-0.0002968349968461648,0.000369692663780273,0.012,0.0014,10038.374,10088.374,0.542,1,217.23,217.17,217.225,217.22,217.15,217.17,217.13,217.245,217.35,217.19,217.25,217.37
