ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8
97,2017-02-06 04:34:00 EST,3,0.8182,0.001,0.001,0.0003,11,true,0.0009798963206472829,0.0002339495443261252,0.0102,0.0025,10049.458,10009.458,0.542,1,263.82519744889044,263.79063821422335,263.67544076533284,263.6869605102219,263.7364954132448,263.84823693866855,263.92887515289186,263.8367171937795
97,2018-10-30 09:36:00 EDT,3,0.8182,0.001,0.001,0.0003,11,true,0.0009798963206472829,0.0002339495443261252,0.0102,0.0025,10049.458,10009.458,0.542,1,263.89,264.0,263.79,263.84,264.11,264.33,264.31,264.61
97,2018-12-27 06:48:00 EST,3,0.8182,0.001,0.001,0.0003,11,true,0.0009798963206472829,0.0002339495443261252,0.0102,0.0025,10049.458,10009.458,0.542,1,263.4921298744216,263.48668312128217,263.56065002891603,263.829828569068,263.86250908790475,264.0150181758096,263.8516155816259,263.8080415565102
97,2018-12-28 07:20:00 EST,3,0.8182,0.001,0.001,0.0003,11,true,0.0009798963206472829,0.0002339495443261252,0.0102,0.0025,10049.458,10009.458,0.542,1,263.8374885182499,263.9649770364999,263.9331049069374,263.95435299331234,264.3261945048747,264.3899387639997,264.20933002981224,264.1691711465635
97,2020-02-25 08:21:00 EST,3,0.8182,0.001,0.001,0.0003,11,true,0.0009798963206472829,0.0002339495443261252,0.0102,0.0025,10049.458,10009.458,0.542,1,263.90172240485515,263.8683793779239,263.9267296750537,263.8350363509925,263.8683793779239,263.71,263.90172240485515,263.9684084587179
97,2020-05-13 09:10:00 EDT,3,0.8182,0.001,0.001,0.0003,11,true,0.0009798963206472829,0.0002339495443261252,0.0102,0.0025,10049.458,10009.458,0.542,1,263.8040008554929,264.1800042774649,264.6124082127326,264.5090072716903,264.4338065872959,264.6030081271833,264.34920581735224,264.69475296214443
97,2020-05-21 06:36:00 EDT,3,0.8182,0.001,0.001,0.0003,11,true,0.0009798963206472829,0.0002339495443261252,0.0102,0.0025,10049.458,10009.458,0.542,1,263.4383773196224,263.4294716579707,263.5630565827465,263.2869810715431,263.0465282069466,263.4027546730155,263.3231380578491,263.48290562788105
97,2020-09-24 10:56:00 EDT,3,0.8182,0.001,0.001,0.0003,11,true,0.0009798963206472829,0.0002339495443261252,0.0102,0.0025,10049.458,10009.458,0.542,1,263.6611165348492,263.34337401136924,263.53076062778047,263.3678157439446,263.12339841819073,263.31893227879385,263.15598739495795,263.27819605783486
97,2022-01-27 07:50:00 EST,3,0.8182,0.001,0.001,0.0003,11,true,0.0009798963206472829,0.0002339495443261252,0.0102,0.0025,10049.458,10009.458,0.542,1,263.6612562094221,264.0694854555116,263.9902767958226,264.13650816755614,264.11213627226726,264.16697303666734,264.38632009426766,264.71534068066813
97,2022-03-16 08:52:00 EDT,3,0.8182,0.001,0.001,0.0003,11,true,0.0009798963206472829,0.0002339495443261252,0.0102,0.0025,10049.458,10009.458,0.542,1,263.8567365297227,263.70174607020306,263.74362712139475,263.79559630900485,263.765026198646,263.820052397292,263.7589121765742,263.820052397292
97,2024-07-12 15:53:00 EDT,3,0.8182,0.001,0.001,0.0003,11,true,0.0009798963206472829,0.0002339495443261252,0.0102,0.0025,10049.458,10009.458,0.542,1,263.7901263628239,264.10591849865955,263.9220991957105,263.7854130473637,263.7052866845398,263.62516032171584,263.89853261840926,263.94095245755136
