ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8,Close Price 9,Close Price 10
160,2016-07-20 08:38:00 EDT,2,1.0,0.0006,0.0002,0.0001,4,false,0.0,0.0,0.0063,0.0,10014.458,10004.458,0.542,1,427.6701492537313,427.6701492537313,427.66817910447764,427.6997014925373,427.68985074626863,427.62286567164176,427.68,427.68,427.70955223880594,427.7194029850746
160,2019-04-18 09:41:00 EDT,2,1.0,0.0006,0.0002,0.0001,4,false,0.0,0.0,0.0063,0.0,10014.458,10004.458,0.542,1,427.68737710007935,427.68,427.6947542001587,427.67262289992067,427.70950840031736,427.79803360126954,427.842148659744,427.86811605202337,427.9308214026978,427.9898382033325
160,2020-02-07 08:24:00 EST,2,1.0,0.0006,0.0002,0.0001,4,false,0.0,0.0,0.0063,0.0,10014.458,10004.458,0.542,1,427.73163915769777,427.73793348288984,427.73793348288984,427.69939679804065,427.7828929485471,427.82142963339624,427.8985030030945,427.9627308111764,427.93703968794364,427.94988524956
160,2021-06-29 09:55:00 EDT,2,1.0,0.0006,0.0002,0.0001,4,false,0.0,0.0,0.0063,0.0,10014.458,10004.458,0.542,1,427.727,427.69,427.77,427.84,427.84,427.87,427.7819,427.7419,427.7501,427.77
212,2016-05-26 11:59:00 EDT,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.22999999999996,427.3626959741966,427.64850268785085,427.770991279417,427.91389463624415,427.91389463624415,427.9343094015052,428.0159684625492,427.99555369728824,428.0731298052801
212,2016-07-27 06:51:00 EDT,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.2398756385659,427.33863202422503,427.4373884098842,427.53614479554335,427.47689096414786,427.47491583643466,427.35838330135687,427.49664224127963,427.47689096414786,427.3978858556205
212,2016-11-07 09:57:00 EST,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.2963472425493,427.2561367925194,427.2963472425493,427.3747576201075,427.2963472425493,427.13550544242975,427.1154002174148,427.0952949923999,427.2561367925194,427.3164524675642
212,2016-12-30 05:31:00 EST,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.4592621411323,427.53568285484306,427.659866514623,427.6503139254092,427.66941910383684,427.6025509793399,427.50702508720144,427.5547880332707,427.51657767641535,427.53568285484306
212,2017-02-28 09:23:00 EST,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.35657595124223,427.26616455749775,427.23,427.3746582299911,427.35657595124223,427.4632613958607,427.46506962373553,427.5012341812333,427.46506962373553,427.4777272188598
212,2017-04-11 09:55:00 EDT,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.33567333361765,427.2190682758327,427.2117804597211,427.2354658620837,427.4486344833469,427.4668540236258,427.612610345857,427.43041494306794,427.4777857477931,427.55795172502025
212,2017-06-06 11:17:00 EDT,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.24753313908155,427.1598674436738,427.2037002913777,427.2037002913777,427.24753313908155,427.2212334304592,427.0897348873477,427.1423343045923,427.0897348873477,427.13356773505154
212,2018-05-23 08:29:00 EDT,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.1434110255371,427.0883089508788,427.1670262003906,427.1985131001953,427.28510207465814,427.2142565500977,427.26148689980465,427.1355393005859,427.0883089508788,427.1827696502929
212,2018-07-16 10:52:00 EDT,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.22234258777985,427.1151388166975,427.1151388166975,427.19171293889923,427.1812988582798,427.2682870611009,427.2682870611009,427.2529722366606,427.2529722366606,427.2682870611009
212,2018-08-09 07:58:00 EDT,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.24122989170434,427.2898927557565,427.2524597834087,427.3797318893913,427.4545978340869,427.46208442855647,427.469571023026,427.48993455998317,427.4096782672695,427.469571023026
212,2021-06-24 07:00:00 EDT,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.1779345482127,427.2884982489193,427.27342138064114,427.25834451236295,427.2683957578817,427.2784470034005,427.24829326684414,427.25834451236295,427.25834451236295,427.30860073995683
212,2021-06-29 10:47:00 EDT,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.2,427.29,427.28,427.32,427.255,427.26,427.195,427.29,427.37,427.45
212,2023-07-26 08:44:00 EDT,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.2158972073678,427.2205981382452,427.1923925529808,427.0712025549614,427.14068231332936,427.1312804515746,427.09837393543273,427.08897207367795,427.10768177857,427.0137571796395
212,2023-12-20 09:10:00 EST,2,0.7857,0.0005,0.0002,0.0003,14,false,0.0,0.0,0.0094,0.0005,10028.916,10023.916,0.542,1,427.2389982939826,427.34697782177386,427.3964684386782,427.27742100928833,427.34697782177386,427.42796246761725,427.38297099770426,427.4009675856695,427.41896417363466,427.3739727037216
314,2017-08-24 10:51:00 EDT,2,0.8333,0.0005,0.0,0.0001,12,true,0.0006353240152478824,0.000878836505086789,0.0096,0.0005,10078.374,10098.374,0.542,1,427.57008316604526,427.64013068949976,427.64013068949976,427.7206853414724,427.73644603424964,427.8327613789995,427.7889816768405,427.7977376172723,427.7627138555451,427.86778514072677
314,2018-04-16 10:59:00 EDT,2,0.8333,0.0005,0.0,0.0001,12,true,0.0006353240152478824,0.000878836505086789,0.0096,0.0005,10078.374,10098.374,0.542,1,427.43951271582335,427.527372841767,427.55932197847375,427.71906766200766,427.7606015397265,427.75101679871443,427.81491507212803,427.67114395694756,427.4794491367069,427.43152543164666
314,2019-02-25 08:35:00 EST,2,0.8333,0.0005,0.0,0.0001,12,true,0.0006353240152478824,0.000878836505086789,0.0096,0.0005,10078.374,10098.374,0.542,1,427.4627632565613,427.3482888323514,427.3879732994108,427.35592046063203,427.35592046063203,427.3406572040707,427.516184654526,427.60013256561325,427.63065907873596,427.6764488484199
